source_id,title,url,method,status,raw_path,captured_at,error
SRC-robotics-109,FluxVLA GitHub repository,https://github.com/FluxVLA/FluxVLA,defuddle,exists,raw/robotics-embodied-ai/documents/SRC-robotics-109-fluxvla-github-repository.md,2026-06-04T06:08:12+00:00,
SRC-robotics-110,逐际动力完成2亿美元B轮融资,https://www.stcn.com/article/detail/3624874.html,defuddle,exists,raw/robotics-embodied-ai/documents/SRC-robotics-110-2-b.md,2026-06-04T06:08:12+00:00,
SRC-robotics-111,逐际动力半年完成5亿元A轮系列融资,https://auto.gasgoo.com/news/202503/10I70420134C601.shtml,defuddle,exists,raw/robotics-embodied-ai/documents/SRC-robotics-111-5-a.md,2026-06-04T06:08:12+00:00,
SRC-robotics-112,机器人一级融资持续创新高行业周报,https://pdf.dfcfw.com/pdf/H3_AP202604131821146133_1.pdf,pdf-download,exists,raw/robotics-embodied-ai/documents/SRC-robotics-112-source.pdf,2026-06-04T06:08:12+00:00,
SRC-robotics-113,逐际张巍：人形机器人不进工厂，具身不堆真机数据,https://finance.sina.cn/2025-02-17/detail-inekumna3941648.d.html,defuddle,exists,raw/robotics-embodied-ai/documents/SRC-robotics-113-source.md,2026-06-04T06:08:12+00:00,
SRC-robotics-114,NVIDIA Isaac Sim developer page,https://developer.nvidia.com/Isaac-sim,defuddle,ok,raw/robotics-embodied-ai/documents/SRC-robotics-114-nvidia-isaac-sim-developer-page.md,2026-06-04T06:08:12+00:00,
SRC-robotics-115,NVIDIA Isaac Lab developer page,https://developer.nvidia.com/isaac/lab,defuddle,ok,raw/robotics-embodied-ai/documents/SRC-robotics-115-nvidia-isaac-lab-developer-page.md,2026-06-04T06:08:12+00:00,
SRC-robotics-116,OpenPI GitHub repository,https://github.com/Physical-Intelligence/openpi,defuddle,ok,raw/robotics-embodied-ai/documents/SRC-robotics-116-openpi-github-repository.md,2026-06-04T06:08:12+00:00,
SRC-robotics-117,OpenVLA GitHub repository,https://github.com/openvla/openvla,defuddle,ok,raw/robotics-embodied-ai/documents/SRC-robotics-117-openvla-github-repository.md,2026-06-04T06:08:12+00:00,
SRC-robotics-118,robomimic official documentation,https://robomimic.github.io/,defuddle,ok,raw/robotics-embodied-ai/documents/SRC-robotics-118-robomimic-official-documentation.md,2026-06-04T06:08:12+00:00,
SRC-robotics-119,LIBERO documentation,https://lifelong-robot-learning.github.io/LIBERO/html/,defuddle,ok,raw/robotics-embodied-ai/documents/SRC-robotics-119-libero-documentation.md,2026-06-04T06:08:12+00:00,
SRC-robotics-120,ManiSkill official website,https://www.maniskill.ai/,defuddle,fallback_html,raw/robotics-embodied-ai/documents/SRC-robotics-120-maniskill-official-website.md,2026-06-04T06:08:12+00:00,Error: No content could be extracted from https://www.maniskill.ai/
SRC-robotics-121,ROS developer documentation,https://docs.ros.org/index.html,defuddle,ok,raw/robotics-embodied-ai/documents/SRC-robotics-121-ros-developer-documentation.md,2026-06-04T06:08:12+00:00,
SRC-robotics-122,MoveIt 2 documentation,https://moveit.picknik.ai/,defuddle,fallback_html,raw/robotics-embodied-ai/documents/SRC-robotics-122-moveit-2-documentation.md,2026-06-04T06:08:12+00:00,Error: No content could be extracted from https://moveit.picknik.ai/
SRC-robotics-123,Agibot Genie Studio,https://genie.agibot.com/index/Common/toggleLang.html?lng=cn&url=%2Fgeniestudio,defuddle,fallback_html,raw/robotics-embodied-ai/documents/SRC-robotics-123-agibot-genie-studio.md,2026-06-04T06:08:12+00:00,Error: No content could be extracted from https://genie.agibot.com/index/Common/toggleLang.html?lng=cn&url=%2Fgeniestudio
SRC-robotics-124,EmbodiFlow platform guides,https://io-ai.tech/platform/en/guides/,defuddle,ok,raw/robotics-embodied-ai/documents/SRC-robotics-124-embodiflow-platform-guides.md,2026-06-04T06:08:12+00:00,
